Page,Relevant Sentence
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”)."
3,"During the course of investigation, Accused No. 2 V.S.
Krishnan (Appellant in the connected appeal arising out of S.L.P.
(Crl.)"
3,"No. 6720 of 2020) and Accused No. 3 Murugesan (Appellant
in the connected appeal arising out of S.L.P. (Crl.)"
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1."
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance."
3,"Since Accused
No. 2 was not available on that date for execution of the written
agreement, he had entrusted the seized currency, along with a
duplicate copy of the agreement signed by him, to the Appellant."
3,"The agreement was to be executed by Accused No. 3 in the
presence of Appellant."
4,Hence Accused Nos.
4,"Accused No. 2 produced the purported sale deed dated
24.01.2001 (in duplicate) typed out on stamp paper before the
Investigating Officer in support of their claim."
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3."
4,"Further, that the first property was
equitably mortgaged with the Tamil Nadu Mercantile Bank Ltd.
since 4.9.1998; whereas a portion of the second property had
already been sold to other persons."
4,"That the license of Accused
4"
5,"Therefore, the
Respondent’s claim is that the Appellant conspired with Accused
Nos."
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos."
5,"2­4 under
Section 120B read with Section 193 of the IPC, in addition to
charges under the PC Act already framed against the Appellant."
5,Accused No. 4 died during the pendency of trial.
5,"No objection was raised by the accused at the stage of
taking of cognizance."
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC."
6,"Furthermore, based on the evidence on the record, the Trial
Court found that it was not proved that Accused No. 2 had
entrusted the seized currency to the Appellant for holding in
escrow till completion of sale transaction by Accused No. 3."
6,"In appeal before the High Court, Accused Nos."
6,"2 and 3
reiterated that the requirements of Sections 195(1)(b)(i) and 340
of the CrPC were not complied with prior to framing of charge
under Section 193, IPC."
6,"Therefore, framing of charge without
conduct of inquiry and making of written complaint by the Trial
Court was illegal and without jurisdiction."
6,"The High Court
rejected this contention and held that the procedure under
Section 195(1)(b)(i) is only mandatory in offences which directly
6"
7,"Thus, the offence must be committed
after a document is produced in evidence before the Court."
