Page,Sentence,Entity,Type
1,"REPORTABLE
IN THE SUPREME COURT OF INDIA
CRIMINAL APPELLATE JURISDICTION
CRIMINAL APPEAL",THE SUPREME COURT OF INDIA,ORG
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 5102 of 2020)
Bhima Razu Prasad ...",2021,DATE
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 5102 of 2020)
Bhima Razu Prasad ...",S.L.P.,ORG
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 5102 of 2020)
Bhima Razu Prasad ...",5102,CARDINAL
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 5102 of 2020)
Bhima Razu Prasad ...",2020,DATE
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 5102 of 2020)
Bhima Razu Prasad ...",Bhima Razu Prasad,PERSON
1,"By
Deputy Superintendent of Police,
CBI/SPE/ACU­II …Respondent
WITH
CRIMINAL APPEAL",CBI/SPE,ORG
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6720 of 2020)
AND
CRIMINAL APPEAL NO.",2021,DATE
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6720 of 2020)
AND
CRIMINAL APPEAL NO.",S.L.P.,ORG
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6720 of 2020)
AND
CRIMINAL APPEAL NO.",2020,DATE
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6327 of 2020)
J U D G M E N T
MOHAN M. SHANTANAGOUDAR, J.
1.",2021,DATE
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6327 of 2020)
J U D G M E N T
MOHAN M. SHANTANAGOUDAR, J.
1.",S.L.P.,ORG
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6327 of 2020)
J U D G M E N T
MOHAN M. SHANTANAGOUDAR, J.
1.",2020,DATE
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6327 of 2020)
J U D G M E N T
MOHAN M. SHANTANAGOUDAR, J.
1.",MOHAN M. SHANTANAGOUDAR,PERSON
1,"OF 2021
(arising out of S.L.P. (Criminal) No. 6327 of 2020)
J U D G M E N T
MOHAN M. SHANTANAGOUDAR, J.
1.",1,CARDINAL
1,"Leave granted.
1",1,CARDINAL
2,"These appeals arise out of judgment dated 6.01.2020 in
Crl. A. Nos.",6.01.2020,CARDINAL
2,"These appeals arise out of judgment dated 6.01.2020 in
Crl. A. Nos.",A. Nos,PERSON
2,"1089, 1090 and 1091 of 2007 passed by the High
Court of Judicature at Madras (“High Court”).","1089, 1090 and",DATE
2,"1089, 1090 and 1091 of 2007 passed by the High
Court of Judicature at Madras (“High Court”).",1091,DATE
2,"1089, 1090 and 1091 of 2007 passed by the High
Court of Judicature at Madras (“High Court”).","the High
Court of Judicature",ORG
2,"1089, 1090 and 1091 of 2007 passed by the High
Court of Judicature at Madras (“High Court”).",Madras,PERSON
2,"Since they involve
common facts and question of law, appeal arising out of S.L.P.
(Crl.)",S.L.P.,ORG
2,No. 5102 of 2020 shall be taken as the leading case.,5102,CARDINAL
2,No. 5102 of 2020 shall be taken as the leading case.,2020,DATE
2,"The brief facts leading to this appeal are as follows:
3.1",3.1,CARDINAL
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",The Appellant/Accused No,ORG
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",1,CARDINAL
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",South,LOC
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",the Rashtriya Ispat Nigam Ltd.,ORG
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",4.01.2001,CARDINAL
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",Appellant,PRODUCT
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",Section 120B,LAW
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",Sections 420,ORG
