Page,Important Sentence,Score,Keywords,Entities
2,"The Appellant/Accused No. 1 was working as Regional
Manager (South) at Chennai with the Rashtriya Ispat Nigam Ltd.
On 4.01.2001 case was registered against the Appellant under
Section 120B read with Sections 420, 467, 468 and 471 of the
Indian Penal Code, 1860 (“IPC”); and Section 13(2) read with
Section 13(1)(d) of the Prevention of Corruption Act, 1988 (“PC
Act”).",5.5548,"Appellant, Regional, Manager, South, Chennai, Rashtriya, Ispat","[('The Appellant/Accused No', 'ORG'), ('1', 'CARDINAL'), ('South', 'LOC'), ('the Rashtriya Ispat Nigam Ltd.', 'ORG'), ('4.01.2001', 'CARDINAL'), ('Appellant', 'PRODUCT'), ('Section 120B', 'LAW'), ('Sections 420', 'ORG'), ('467', 'DATE'), ('468', 'CARDINAL'), ('471', 'CARDINAL'), ('Indian Penal Code', 'LAW'), ('1860', 'DATE'), ('IPC', 'ORG'), ('Section 13(2', 'LAW'), ('Section 13(1)(d', 'LAW'), ('the Prevention of Corruption Act', 'ORG'), ('1988', 'DATE')]"
2,"Subsequently, the officers of the Respondent investigative
agency conducted search at the Appellant’s residence on
24.01.2001 on the basis of search warrant issued by the Special
Judge, Tis Hazari Court, New Delhi.",4.4986,"officers, Respondent, agency, search, Appellant, residence, basis","[('Respondent', 'LOC'), ('Appellant', 'PRODUCT'), ('24.01.2001', 'CARDINAL'), ('Tis Hazari Court', 'ORG'), ('New Delhi', 'GPE')]"
3,"No. 6327 of
2020) wrote letter dated 4.02.2002 to the Superintendent of
Police, CBI/ACU­II claiming that the seized currency did not
belong to the Appellant/Accused No. 1.",4.2847,"letter, Superintendent, Police, ACU­II, currency, Appellant","[('6327', 'DATE'), ('2020', 'DATE'), ('4.02.2002', 'TIME'), ('CBI', 'ORG'), ('the Appellant/Accused No', 'ORG'), ('1', 'CARDINAL')]"
3,"They contended that
Accused No. 2 had entered into agreement of sale dated
24.01.2001 to purchase properties from Accused No. 3, for which
a sum of Rs 80 lakhs was to be paid in advance.",4.0888,"agreement, sale, properties, Accused, lakhs, advance","[('2', 'CARDINAL'), ('24.01.2001', 'CARDINAL'), ('Accused No', 'GPE'), ('3', 'CARDINAL'), ('80', 'CARDINAL')]"
4,"Accused No. 2 produced the purported sale deed dated
24.01.2001 (in duplicate) typed out on stamp paper before the
Investigating Officer in support of their claim.",4.0566,"sale, deed, stamp, paper, Investigating, Officer, support","[('2', 'CARDINAL'), ('24.01.2001', 'CARDINAL')]"
4,"He also produced
certain books of accounts to show that he had financial capacity
to purchase the properties from Accused No. 3, in which entry
was made on 20.01.2001 pertaining to payment of advance price
of Rs 80 lakhs to Accused No. 3.",4.4324,"books, accounts, capacity, properties, Accused, entry, payment","[('Accused No', 'GPE'), ('3', 'CARDINAL'), ('20.01.2001', 'CARDINAL'), ('80', 'CARDINAL'), ('Accused No', 'GPE'), ('3', 'CARDINAL')]"
4,"However, pertinently, the
Appellant had not taken any such defence at the time of search
conducted in his house on 24.01.2001, nor had he produced the
duplicate sale deed before the officers of the Respondent agency
at that time.",4.1201,"Appellant, defence, time, search, house, sale, deed","[('24.01.2001', 'DATE')]"
4,"3.3 Investigation conducted by the Respondent revealed
that the market value fixed by the State Government in respect of
the two properties described in sale deed dated 24.01.2001, was
much below Rs 80 lakhs.",4.5161,"Investigation, Respondent, market, value, State, Government, respect","[('3.3', 'CARDINAL'), ('Respondent', 'PRODUCT'), ('the State Government', 'ORG'), ('two', 'CARDINAL'), ('24.01.2001', 'DATE'), ('80', 'CARDINAL')]"
5,"Accordingly, the Learned Additional
Special Judge for CBI Cases, Chennai (“Trial Court”) framed
charges against the Appellant and Accused Nos.",3.7402,"Additional, Special, Judge, Cases, Chennai, Trial, Court","[('the Learned Additional\nSpecial', 'ORG'), ('CBI Cases', 'ORG'), ('Chennai', 'PERSON'), ('Trial Court', 'WORK_OF_ART'), ('Appellant and Accused Nos', 'WORK_OF_ART')]"
5,"However, during the course of trial, the
Accused argued that complaint under Section 195(1)(b) of the
Code of Criminal Procedure, 1973 (“CrPC”) was necessary for
prosecuting the case under Section 193, IPC.",3.9748,"course, trial, Accused, complaint, Section, Code, Criminal","[('Section 195(1)(b', 'LAW'), ('1973', 'DATE'), ('CrPC', 'WORK_OF_ART'), ('Section 193', 'LAW'), ('IPC', 'ORG')]"
